Bin Start,Accumulated Count
14.462019198161975ms,998977
14.475596755887423ms,998977
14.489174313612867ms,998977
14.502751871338312ms,998977
14.516329429063756ms,998977
14.529906986789204ms,998977
14.543484544514648ms,998977
14.557062102240092ms,998977
14.570639659965536ms,998977
14.584217217690984ms,998977
14.597794775416428ms,998977
14.611372333141873ms,998977
14.624949890867317ms,998977
14.638527448592765ms,998977
14.652105006318209ms,998977
14.665682564043653ms,998977
14.679260121769097ms,998977
14.692837679494545ms,998977
14.70641523721999ms,998977
14.719992794945433ms,998977
14.733570352670878ms,998977
14.747147910396325ms,998977
14.76072546812177ms,998977
14.774303025847214ms,998977
14.787880583572662ms,998977
14.801458141298106ms,998977
14.81503569902355ms,998977
14.828613256748994ms,998977
14.842190814474442ms,998977
14.855768372199886ms,998977
14.86934592992533ms,998977
14.882923487650775ms,998977
14.896501045376223ms,998978
14.910078603101667ms,998978
14.923656160827111ms,998978
14.937233718552555ms,998978
14.950811276278003ms,998978
14.964388834003447ms,998978
14.977966391728891ms,998978
14.991543949454336ms,998978
15.005121507179783ms,998978
15.018699064905228ms,998978
15.032276622630672ms,998978
15.045854180356116ms,998978
15.059431738081564ms,998978
15.073009295807008ms,998978
15.086586853532452ms,998978
15.100164411257897ms,998978
15.113741968983344ms,998978
15.127319526708789ms,998978
15.140897084434233ms,998979
15.15447464215968ms,998979
15.168052199885125ms,998979
15.181629757610569ms,998979
15.195207315336013ms,998979
15.208784873061461ms,998980
15.222362430786905ms,998980
15.23593998851235ms,998980
15.249517546237794ms,998980
15.263095103963241ms,998980
15.276672661688686ms,998980
15.29025021941413ms,998980
15.303827777139574ms,998980
15.317405334865022ms,998980
15.330982892590466ms,998980
15.34456045031591ms,998980
15.358138008041355ms,998981
15.371715565766802ms,998981
15.385293123492247ms,998981
15.39887068121769ms,998981
15.412448238943135ms,998981
15.426025796668583ms,998981
15.439603354394027ms,998981
15.453180912119471ms,998982
15.466758469844919ms,998982
15.480336027570363ms,998982
15.493913585295807ms,998982
15.507491143021252ms,998982
15.5210687007467ms,998982
15.534646258472144ms,998982
15.548223816197588ms,998982
15.561801373923032ms,998982
15.57537893164848ms,998982
15.588956489373924ms,998982
15.602534047099368ms,998983
15.616111604824813ms,998983
15.62968916255026ms,998983
15.643266720275705ms,998983
15.656844278001149ms,998983
15.670421835726593ms,998983
15.68399939345204ms,998984
15.697576951177485ms,998984
15.71115450890293ms,998984
15.724732066628373ms,998984
15.738309624353821ms,998985
15.751887182079265ms,998987
15.76546473980471ms,998988
15.779042297530157ms,998988
15.792619855255602ms,998988
15.806197412981046ms,998988
15.81977497070649ms,998988
15.833352528431938ms,998989
15.846930086157382ms,998989
15.860507643882826ms,998989
15.87408520160827ms,998989
15.887662759333718ms,998989
15.901240317059163ms,998989
15.914817874784607ms,998989
15.928395432510051ms,998989
15.941972990235499ms,998989
15.955550547960943ms,998990
15.969128105686387ms,998990
15.982705663411831ms,998990
15.99628322113728ms,998990
16.009860778862723ms,998990
16.023438336588168ms,998990
16.037015894313612ms,998990
16.05059345203906ms,998990
16.064171009764504ms,998990
16.077748567489948ms,998990
16.091326125215392ms,998990
16.10490368294084ms,998990
16.118481240666284ms,998990
16.13205879839173ms,998990
16.145636356117176ms,998990
16.15921391384262ms,998990
16.172791471568065ms,998990
16.18636902929351ms,998991
16.199946587018957ms,998991
16.2135241447444ms,998991
16.227101702469845ms,998992
16.24067926019529ms,998992
16.254256817920737ms,998992
16.26783437564618ms,998992
16.281411933371626ms,998992
16.29498949109707ms,998992
16.308567048822518ms,998992
16.322144606547962ms,998992
16.335722164273406ms,998992
16.34929972199885ms,998992
16.362877279724298ms,998992
16.376454837449742ms,998992
16.390032395175187ms,998992
16.40360995290063ms,998992
16.41718751062608ms,998992
16.430765068351523ms,998992
16.444342626076967ms,998992
16.457920183802415ms,998992
16.47149774152786ms,998992
16.485075299253303ms,998992
16.498652856978747ms,998992
16.512230414704195ms,998992
16.52580797242964ms,998992
16.539385530155084ms,998992
16.552963087880528ms,998993
16.566540645605976ms,998993
16.58011820333142ms,998993
16.593695761056864ms,998993
16.60727331878231ms,998994
16.620850876507756ms,998994
16.6344284342332ms,998994
16.648005991958645ms,998994
16.66158354968409ms,998995
16.675161107409536ms,998995
16.68873866513498ms,998995
16.702316222860425ms,998995
16.71589378058587ms,998995
16.729471338311317ms,998995
16.74304889603676ms,998995
16.756626453762205ms,998995
16.770204011487653ms,998995
16.783781569213097ms,998996
16.79735912693854ms,998996
16.810936684663986ms,998997
16.824514242389434ms,998997
16.838091800114878ms,998997
16.851669357840322ms,998997
16.865246915565766ms,998997
16.878824473291214ms,998997
16.89240203101666ms,998997
16.905979588742102ms,998997
16.919557146467547ms,998997
16.933134704192994ms,998997
16.94671226191844ms,998997
16.960289819643883ms,998997
16.973867377369327ms,998998
16.987444935094775ms,998998
17.00102249282022ms,998998
17.014600050545663ms,998998
17.028177608271108ms,998998
17.041755165996555ms,998998
17.055332723722ms,998998
17.068910281447444ms,998998
17.082487839172888ms,998998
17.096065396898336ms,998998
17.10964295462378ms,998998
17.123220512349224ms,998998
17.136798070074672ms,998998
17.150375627800116ms,998999
17.16395318552556ms,998999
17.177530743251005ms,998999
17.191108300976452ms,998999
17.204685858701897ms,998999
17.21826341642734ms,998999
17.231840974152785ms,998999
